,,,,,,,,,,,,,,,,
city id,city name,0,1,2,3,,,,,,,,,,,
120,Los Angeles - Elysian Valley ,0.401571429,0.409321429,0.417071429,0.424821429,,,,,,,,,,,
121,Los Angeles - Encino ,0.370571429,0.371071429,0.371571429,0.372071429,,,,,,,,,,,
123,Los Angeles - Exposition Park ,0.679,0.715571429,0.752142857,0.788714286,,,,,,,,,,,
124,Los Angeles - Faircrest Heights ,0.262,0.269,0.276,0.283,,,,,,,,,,,
125,Los Angeles - Figueroa Park Square ,0.548428571,0.545928571,0.543428571,0.540928571,,,,,,,,,,,
126,Los Angeles - Florence-Firestone ,0.855428571,0.890678571,0.925928571,0.961178571,,,,,,,,,,,
127,Los Angeles - Glassell Park ,0.463857143,0.47225,0.480642857,0.489035714,,,,,,,,,,,
128,Los Angeles - Gramercy Place ,0.416857143,0.436428571,0.456,0.475571429,,,,,,,,,,,
129,Los Angeles - Granada Hills ,0.722857143,0.746392857,0.769928571,0.793464286,,,,,,,,,,,
130,Los Angeles - Green Meadows ,0.708714286,0.7305,0.752285714,0.774071429,,,,,,,,,,,
131,Los Angeles - Hancock Park ,0.236428571,0.248321429,0.260214286,0.272107143,,,,,,,,,,,
132,Los Angeles - Harbor City ,0.411428571,0.431214286,0.451,0.470785714,,,,,,,,,,,
133,Los Angeles - Harbor Gateway ,0.491142857,0.515285714,0.539428571,0.563571429,,,,,,,,,,,
134,Los Angeles - Harbor Pines ,0.160571429,0.169535714,0.1785,0.187464286,,,,,,,,,,,
135,Los Angeles - Harvard Heights ,0.524,0.538357143,0.552714286,0.567071429,,,,,,,,,,,
136,Los Angeles - Harvard Park ,0.585428571,0.605,0.624571429,0.644142857,,,,,,,,,,,
137,Los Angeles - Highland Park ,0.691428571,0.7125,0.733571429,0.754642857,,,,,,,,,,,
138,Los Angeles - Historic Filipinotown ,0.706714286,0.749964286,0.793214286,0.836464286,,,,,,,,,,,
139,Los Angeles - Hollywood ,0.412571429,0.418535714,0.4245,0.430464286,,,,,,,,,,,
140,Los Angeles - Hollywood Hills ,0.366142857,0.368714286,0.371285714,0.373857143,,,,,,,,,,,
141,Los Angeles - Hyde Park ,0.358285714,0.377,0.395714286,0.414428571,,,,,,,,,,,
142,Los Angeles - Jefferson Park ,0.815714286,0.864821429,0.913928571,0.963035714,,,,,,,,,,,
143,Los Angeles - Koreatown ,0.351571429,0.362035714,0.3725,0.382964286,,,,,,,,,,,
144,Los Angeles - Lafayette Square ,1,1,1,1,,,,,,,,,,,
145,Los Angeles - Lake Balboa ,0.659571429,0.683035714,0.7065,0.729964286,,,,,,,,,,,
146,Los Angeles - Lakeview Terrace ,0.823714286,0.84475,0.865785714,0.886821429,,,,,,,,,,,
147,Los Angeles - Leimert Park ,0.505714286,0.537892857,0.570071429,0.60225,,,,,,,,,,,
148,Los Angeles - Lincoln Heights ,0.747571429,0.773535714,0.7995,0.825464286,,,,,,,,,,,
149,Los Angeles - Little Armenia ,0.543142857,0.565892857,0.588642857,0.611392857,,,,,,,,,,,
150,Los Angeles - Little Bangladesh ,0.355857143,0.367571429,0.379285714,0.391,,,,,,,,,,,
151,Los Angeles - Little Tokyo ,0.392142857,0.419571429,0.447,0.474428571,,,,,,,,,,,
152,Los Angeles - Longwood ,0.428571429,0.464321429,0.500071429,0.535821429,,,,,,,,,,,
